"sn","date","branch","pizza_sold","category","price","quantity","timevalue","time_range","total_sales"
3288,"2015-12-08","Lekki","Beef Suya","Beef","3000",2,"09:13:51","Morning to Afternoon","6000"
1,"2015-12-11","Ibadan","Meatzaa","Beef","2000",5,"08:00:01","Morning to Afternoon","10000"
2,"2015-12-14","Ikoyi","Extravaganza","Pepperoni/Beef","2000",4,"08:00:02","Morning to Afternoon","8000"
3,"2015-12-04","Lekki","BBQ Chicken","Chicken","4000",5,"08:00:04","Morning to Afternoon","20000"
4,"2015-12-14","Ikoyi","Extravaganza","Pepperoni/Beef","2000",1,"08:00:07","Morning to Afternoon","2000"
5,"2015-12-07","Gbagada","Meatzaa","Beef","2000",4,"08:00:08","Morning to Afternoon","8000"
6,"2015-12-08","Surulere","Hot Veggie","Vegetable","4000",2,"08:00:14","Morning to Afternoon","8000"
7,"2015-12-04","Ibadan","BBQ Philly Steak","Beef","4000",5,"08:00:20","Morning to Afternoon","20000"
8,"2015-12-07","Ikoyi","Chicken Feast","Chicken","2000",1,"08:00:20","Morning to Afternoon","2000"
9,"2015-12-07","Gbagada","Meatzaa","Beef","2000",3,"08:00:22","Morning to Afternoon","6000"
10,"2015-12-04","Ibadan","Chicken Suya","Chicken","4000",5,"08:00:25","Morning to Afternoon","20000"
11,"2015-12-12","Lekki","Chicken Legend","Chicken","2000",5,"08:00:26","Morning to Afternoon","10000"
12,"2015-12-09","Gbagada","BBQ Philly Steak","Beef","4000",4,"08:00:27","Morning to Afternoon","16000"
13,"2015-12-15","Gbagada","Chicken Suya","Chicken","4000",2,"08:00:29","Morning to Afternoon","8000"
14,"2015-12-11","Ibadan","Chicken Feast","Chicken","2000",5,"08:00:33","Morning to Afternoon","10000"
15,"2015-12-05","Surulere","Chicken Feast","Chicken","2000",4,"08:00:33","Morning to Afternoon","8000"
16,"2015-12-07","Lekki","Beef Suya","Beef","3000",5,"08:00:34","Morning to Afternoon","15000"
17,"2015-12-08","Gbagada","Chicken Feast","Chicken","2000",5,"08:00:35","Morning to Afternoon","10000"
18,"2015-12-14","Lekki","Hot Veggie","Vegetable","4000",5,"08:00:35","Morning to Afternoon","20000"
19,"2015-12-11","Surulere","Meatzaa","Beef","2000",5,"08:00:35","Morning to Afternoon","10000"
20,"2015-12-11","Ibadan","Meatzaa","Beef","2000",2,"08:00:36","Morning to Afternoon","4000"
21,"2015-12-06","Lekki","Margarita","Vegetable","4000",3,"08:00:37","Morning to Afternoon","12000"
22,"2015-12-14","Surulere","Italiano","Tomato/Cheese","3000",5,"08:00:40","Morning to Afternoon","15000"
23,"2015-12-14","Gbagada","Hot Veggie","Vegetable","4000",2,"08:00:45","Morning to Afternoon","8000"
24,"2015-12-08","Ikoyi","Pepperoni Suya","Pepperoni/Beef","3000",3,"08:00:45","Morning to Afternoon","9000"
25,"2015-12-09","Lekki","Veggie Supreme","Vegetable","3000",5,"08:00:48","Morning to Afternoon","15000"
26,"2015-12-04","Ibadan","Hot Pepperoni Feast","Salami","4000",3,"08:00:49","Morning to Afternoon","12000"
27,"2015-12-09","Ikoyi","Chicken Legend","Chicken","2000",4,"08:00:49","Morning to Afternoon","8000"
28,"2015-12-03","Ibadan","BBQ Philly Steak","Beef","4000",1,"08:00:52","Morning to Afternoon","4000"
